score_id,bundle_id,bundle_size,model_version,draw_date,draw_id,strategy,line_id,n1,n2,n3,n4,n5,mega,matched_mains,main_match_count,mega_hit,official_prize_category
score-2026-07-22-2d67e8a011735f4b,slp-2026-07-22-v1-28dde562ef294549,60,slp-robust-fair-coverage-v5,2026-07-22,4101,balanced,9,7,10,13,16,22,18,16,1,no,No prize
score-2026-07-22-2d67e8a011735f4b,slp-2026-07-22-v1-28dde562ef294549,60,slp-robust-fair-coverage-v5,2026-07-22,4101,conservative,12,5,17,28,46,47,24,5,1,no,No prize
score-2026-07-22-2d67e8a011735f4b,slp-2026-07-22-v1-28dde562ef294549,60,slp-robust-fair-coverage-v5,2026-07-22,4101,aggressive,13,4,6,35,39,41,5,35,1,no,No prize
score-2026-07-22-2d67e8a011735f4b,slp-2026-07-22-v1-28dde562ef294549,60,slp-robust-fair-coverage-v5,2026-07-22,4101,conservative,13,10,19,20,24,38,13,,0,no,No prize
score-2026-07-22-2d67e8a011735f4b,slp-2026-07-22-v1-28dde562ef294549,60,slp-robust-fair-coverage-v5,2026-07-22,4101,balanced,10,13,14,17,25,26,6,,0,no,No prize
score-2026-07-22-2d67e8a011735f4b,slp-2026-07-22-v1-28dde562ef294549,60,slp-robust-fair-coverage-v5,2026-07-22,4101,aggressive,14,1,8,11,15,42,3,,0,no,No prize
score-2026-07-22-2d67e8a011735f4b,slp-2026-07-22-v1-28dde562ef294549,60,slp-robust-fair-coverage-v5,2026-07-22,4101,conservative,14,10,15,18,35,45,24,35,1,no,No prize
score-2026-07-22-2d67e8a011735f4b,slp-2026-07-22-v1-28dde562ef294549,60,slp-robust-fair-coverage-v5,2026-07-22,4101,balanced,11,5,13,23,38,40,11,5,1,no,No prize
score-2026-07-22-2d67e8a011735f4b,slp-2026-07-22-v1-28dde562ef294549,60,slp-robust-fair-coverage-v5,2026-07-22,4101,conservative,15,3,5,20,25,34,23,5,1,no,No prize
score-2026-07-22-2d67e8a011735f4b,slp-2026-07-22-v1-28dde562ef294549,60,slp-robust-fair-coverage-v5,2026-07-22,4101,aggressive,15,2,9,14,30,39,15,30,1,no,No prize
score-2026-07-22-2d67e8a011735f4b,slp-2026-07-22-v1-28dde562ef294549,60,slp-robust-fair-coverage-v5,2026-07-22,4101,aggressive,16,12,17,33,42,44,27,,0,no,No prize
score-2026-07-22-2d67e8a011735f4b,slp-2026-07-22-v1-28dde562ef294549,60,slp-robust-fair-coverage-v5,2026-07-22,4101,aggressive,17,20,22,27,33,35,11,35,1,no,No prize
score-2026-07-22-2d67e8a011735f4b,slp-2026-07-22-v1-28dde562ef294549,60,slp-robust-fair-coverage-v5,2026-07-22,4101,conservative,16,2,3,21,24,45,9,,0,no,No prize
score-2026-07-22-2d67e8a011735f4b,slp-2026-07-22-v1-28dde562ef294549,60,slp-robust-fair-coverage-v5,2026-07-22,4101,conservative,17,1,2,16,40,43,13,16,1,no,No prize
score-2026-07-22-2d67e8a011735f4b,slp-2026-07-22-v1-28dde562ef294549,60,slp-robust-fair-coverage-v5,2026-07-22,4101,balanced,12,21,27,29,31,32,25,29,1,no,No prize
score-2026-07-22-2d67e8a011735f4b,slp-2026-07-22-v1-28dde562ef294549,60,slp-robust-fair-coverage-v5,2026-07-22,4101,balanced,13,17,18,31,38,41,21,,0,no,No prize
