score_id,bundle_id,bundle_size,model_version,draw_date,draw_id,strategy,line_id,n1,n2,n3,n4,n5,mega,matched_mains,main_match_count,mega_hit,official_prize_category
score-2026-08-05-cfc5e03bd62dabd3,slp-2026-08-05-v1-3ca0537bd63d905e,60,slp-robust-fair-coverage-v5,2026-08-05,4105,aggressive,13,5,32,35,37,45,16,,0,no,No prize
score-2026-08-05-cfc5e03bd62dabd3,slp-2026-08-05-v1-3ca0537bd63d905e,60,slp-robust-fair-coverage-v5,2026-08-05,4105,conservative,8,14,18,24,28,44,17,,0,no,No prize
score-2026-08-05-cfc5e03bd62dabd3,slp-2026-08-05-v1-3ca0537bd63d905e,60,slp-robust-fair-coverage-v5,2026-08-05,4105,conservative,9,23,28,35,36,43,6,,0,no,No prize
score-2026-08-05-cfc5e03bd62dabd3,slp-2026-08-05-v1-3ca0537bd63d905e,60,slp-robust-fair-coverage-v5,2026-08-05,4105,aggressive,14,4,7,33,35,47,13,4,1,no,No prize
score-2026-08-05-cfc5e03bd62dabd3,slp-2026-08-05-v1-3ca0537bd63d905e,60,slp-robust-fair-coverage-v5,2026-08-05,4105,conservative,10,5,6,8,21,36,17,,0,no,No prize
score-2026-08-05-cfc5e03bd62dabd3,slp-2026-08-05-v1-3ca0537bd63d905e,60,slp-robust-fair-coverage-v5,2026-08-05,4105,conservative,11,22,23,30,33,46,24,,0,no,No prize
score-2026-08-05-cfc5e03bd62dabd3,slp-2026-08-05-v1-3ca0537bd63d905e,60,slp-robust-fair-coverage-v5,2026-08-05,4105,conservative,12,4,6,32,41,44,14,4,1,no,No prize
score-2026-08-05-cfc5e03bd62dabd3,slp-2026-08-05-v1-3ca0537bd63d905e,60,slp-robust-fair-coverage-v5,2026-08-05,4105,balanced,12,1,2,4,13,14,5,2 4 13,3,yes,3+Mega
score-2026-08-05-cfc5e03bd62dabd3,slp-2026-08-05-v1-3ca0537bd63d905e,60,slp-robust-fair-coverage-v5,2026-08-05,4105,balanced,13,9,20,21,28,32,24,9 20,2,no,No prize
score-2026-08-05-cfc5e03bd62dabd3,slp-2026-08-05-v1-3ca0537bd63d905e,60,slp-robust-fair-coverage-v5,2026-08-05,4105,balanced,14,6,14,33,34,42,27,,0,no,No prize
score-2026-08-05-cfc5e03bd62dabd3,slp-2026-08-05-v1-3ca0537bd63d905e,60,slp-robust-fair-coverage-v5,2026-08-05,4105,conservative,13,5,12,13,27,41,2,13,1,no,No prize
score-2026-08-05-cfc5e03bd62dabd3,slp-2026-08-05-v1-3ca0537bd63d905e,60,slp-robust-fair-coverage-v5,2026-08-05,4105,balanced,15,24,27,32,38,39,13,,0,no,No prize
score-2026-08-05-cfc5e03bd62dabd3,slp-2026-08-05-v1-3ca0537bd63d905e,60,slp-robust-fair-coverage-v5,2026-08-05,4105,balanced,16,9,16,30,41,43,10,9,1,no,No prize
score-2026-08-05-cfc5e03bd62dabd3,slp-2026-08-05-v1-3ca0537bd63d905e,60,slp-robust-fair-coverage-v5,2026-08-05,4105,balanced,17,13,15,20,31,47,21,13 20,2,no,No prize
score-2026-08-05-cfc5e03bd62dabd3,slp-2026-08-05-v1-3ca0537bd63d905e,60,slp-robust-fair-coverage-v5,2026-08-05,4105,balanced,18,6,18,20,37,38,18,20,1,no,No prize
score-2026-08-05-cfc5e03bd62dabd3,slp-2026-08-05-v1-3ca0537bd63d905e,60,slp-robust-fair-coverage-v5,2026-08-05,4105,balanced,19,15,19,27,29,33,23,,0,no,No prize
score-2026-08-05-cfc5e03bd62dabd3,slp-2026-08-05-v1-3ca0537bd63d905e,60,slp-robust-fair-coverage-v5,2026-08-05,4105,conservative,14,2,9,19,23,24,16,2 9,2,no,No prize
score-2026-08-05-cfc5e03bd62dabd3,slp-2026-08-05-v1-3ca0537bd63d905e,60,slp-robust-fair-coverage-v5,2026-08-05,4105,conservative,15,8,12,18,26,33,21,,0,no,No prize
score-2026-08-05-cfc5e03bd62dabd3,slp-2026-08-05-v1-3ca0537bd63d905e,60,slp-robust-fair-coverage-v5,2026-08-05,4105,aggressive,15,10,12,14,20,23,26,20,1,no,No prize
score-2026-08-05-cfc5e03bd62dabd3,slp-2026-08-05-v1-3ca0537bd63d905e,60,slp-robust-fair-coverage-v5,2026-08-05,4105,aggressive,16,2,7,17,21,22,23,2,1,no,No prize
score-2026-08-05-cfc5e03bd62dabd3,slp-2026-08-05-v1-3ca0537bd63d905e,60,slp-robust-fair-coverage-v5,2026-08-05,4105,aggressive,17,7,9,12,40,44,27,9,1,no,No prize
score-2026-08-05-cfc5e03bd62dabd3,slp-2026-08-05-v1-3ca0537bd63d905e,60,slp-robust-fair-coverage-v5,2026-08-05,4105,aggressive,18,4,9,29,31,34,17,4 9,2,no,No prize
score-2026-08-05-cfc5e03bd62dabd3,slp-2026-08-05-v1-3ca0537bd63d905e,60,slp-robust-fair-coverage-v5,2026-08-05,4105,balanced,20,7,24,30,37,42,14,,0,no,No prize
score-2026-08-05-cfc5e03bd62dabd3,slp-2026-08-05-v1-3ca0537bd63d905e,60,slp-robust-fair-coverage-v5,2026-08-05,4105,aggressive,19,1,3,15,37,46,6,,0,no,No prize
score-2026-08-05-cfc5e03bd62dabd3,slp-2026-08-05-v1-3ca0537bd63d905e,60,slp-robust-fair-coverage-v5,2026-08-05,4105,aggressive,20,11,13,28,29,42,15,13,1,no,No prize
score-2026-08-05-cfc5e03bd62dabd3,slp-2026-08-05-v1-3ca0537bd63d905e,60,slp-robust-fair-coverage-v5,2026-08-05,4105,conservative,16,3,6,11,19,47,7,,0,no,No prize
score-2026-08-05-cfc5e03bd62dabd3,slp-2026-08-05-v1-3ca0537bd63d905e,60,slp-robust-fair-coverage-v5,2026-08-05,4105,conservative,17,16,17,33,39,40,2,,0,no,No prize
score-2026-08-05-cfc5e03bd62dabd3,slp-2026-08-05-v1-3ca0537bd63d905e,60,slp-robust-fair-coverage-v5,2026-08-05,4105,conservative,18,11,15,16,22,34,14,,0,no,No prize
score-2026-08-05-cfc5e03bd62dabd3,slp-2026-08-05-v1-3ca0537bd63d905e,60,slp-robust-fair-coverage-v5,2026-08-05,4105,conservative,19,7,11,18,31,43,19,,0,no,No prize
score-2026-08-05-cfc5e03bd62dabd3,slp-2026-08-05-v1-3ca0537bd63d905e,60,slp-robust-fair-coverage-v5,2026-08-05,4105,conservative,20,10,16,26,29,37,24,,0,no,No prize
